,Main (kW),DHB (kW),DG (kW),DE (kW),DL (kW),M1 (kW),AMDP (kW),Time
0,153.66,7.59,97.98,25.49,13.34,0.0,9.28,2019-08-03 12:12:57.171476
1,156.17,8.08,97.86,27.29,13.9,0.0,9.28,2019-08-03 12:13:12.803546
2,164.94,7.69,97.41,35.65,13.37,0.0,9.71,2019-08-03 12:13:30.906270
3,164.94,7.69,97.74,36.25,13.79,0.0,8.98,2019-08-03 12:13:45.361207
4,165.05,7.61,97.74,36.25,13.56,0.0,9.19,2019-08-03 12:14:00.833809
5,165.33,8.3,97.84,36.7,13.56,0.0,9.19,2019-08-03 12:14:15.598990
6,165.39,8.2,98.31,36.84,14.0,0.0,9.16,2019-08-03 12:14:29.225508
7,165.39,8.2,98.31,36.84,13.76,0.0,8.65,2019-08-03 12:14:43.337916
8,161.07,7.33,100.52,28.5,13.76,0.0,8.65,2019-08-03 12:14:56.953120
9,160.98,7.05,99.86,28.9,14.53,0.0,9.35,2019-08-03 12:15:11.583272
10,160.98,7.05,99.86,31.22,13.32,0.0,8.65,2019-08-03 12:15:25.699726
11,160.64,6.48,99.53,31.22,13.32,0.0,8.36,2019-08-03 12:15:40.329025
12,160.59,6.52,100.32,30.18,15.05,0.0,8.36,2019-08-03 12:15:54.440152
13,160.59,6.52,101.25,28.25,15.0,0.0,8.21,2019-08-03 12:16:08.577776
14,157.57,6.81,101.25,28.25,14.46,0.0,8.73,2019-08-03 12:16:22.183570
0,164.85,6.33,97.59,33.39,13.54,0.0,8.88,2019-08-03 12:19:08.588025
0,166.63,7.18,98.54,38.63,13.27,0.0,8.97,2019-08-03 12:19:43.759914
0,158.41,7.46,98.7,29.58,13.36,0.0,9.13,2019-08-03 12:20:08.695564
0,157.65,7.0,98.46,28.42,12.16,0.0,9.37,2019-08-03 12:20:40.162879
1,157.65,7.0,99.91,27.82,13.28,0.0,9.12,2019-08-03 12:20:53.775959
2,158.4,7.0,99.91,27.82,14.3,0.0,9.03,2019-08-03 12:21:08.482783
3,158.03,6.79,99.25,29.1,14.3,0.0,9.03,2019-08-03 12:21:23.616105
4,160.02,7.63,99.02,33.63,12.57,0.0,8.28,2019-08-03 12:21:40.725393
5,160.02,7.63,98.69,30.45,12.94,0.0,9.42,2019-08-03 12:21:55.194823
6,157.58,7.15,98.69,30.45,12.73,0.0,9.4,2019-08-03 12:22:10.173467
